,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Day_Perc_Change,Trend
0,PNB,EQ,2017-05-15,169.15,169.95,171.3,166.2,166.85,166.8,168.94,7476618,1263123175.4,41641,1352589,18.09,May,2017,0.0,Slight or No change
1,PNB,EQ,2017-05-16,166.8,167.35,178.0,164.8,173.2,174.15,173.13,51532461,8921903967.6,254027,5804867,11.26,May,2017,0.04406474820143891,Slight or No change
2,PNB,EQ,2017-05-17,174.15,173.0,173.1,164.3,164.8,165.05,167.27,26536944,4438941589.0,116512,7037498,26.52,May,2017,-0.0522538041917886,Slight or No change
3,PNB,EQ,2017-05-18,165.05,163.4,164.4,157.9,158.25,158.5,161.06,13905573,2239612548.3,76746,3245443,23.34,May,2017,-0.039684943956376895,Slight or No change
4,PNB,EQ,2017-05-19,158.5,159.5,162.25,154.1,155.2,155.2,157.59,16311602,2570540467.55,82394,2816963,17.27,May,2017,-0.020820189274448064,Slight or No change
5,PNB,EQ,2017-05-22,155.2,157.5,158.0,150.25,151.05,150.95,153.77,11857847,1823358970.75,61559,1874308,15.81,May,2017,-0.027384020618556715,Slight or No change
6,PNB,EQ,2017-05-23,150.95,151.95,154.35,145.55,149.1,149.75,150.19,18177361,2730134675.2,84779,2318975,12.76,May,2017,-0.00794965220271604,Slight or No change
7,PNB,EQ,2017-05-24,149.75,149.7,152.35,146.5,147.3,147.45,149.16,12578488,1876156468.6,63143,1093155,8.69,May,2017,-0.015358931552587718,Slight or No change
8,PNB,EQ,2017-05-25,147.45,148.5,151.9,144.35,151.2,150.7,148.28,18805386,2788529745.95,70546,5106397,27.15,May,2017,0.02204136995591721,Slight or No change
9,PNB,EQ,2017-05-26,150.7,151.0,153.3,149.6,150.3,150.65,151.23,9285518,1404293979.65,45352,1805638,19.45,May,2017,-0.00033178500331776384,Slight or No change
10,PNB,EQ,2017-05-29,150.65,150.45,151.85,143.05,143.65,145.1,147.58,8154328,1203406698.45,37624,1838845,22.55,May,2017,-0.03684035844673095,Slight or No change
11,PNB,EQ,2017-05-30,145.1,143.9,148.0,142.4,146.45,146.35,146.11,10767305,1573237194.75,46802,2178803,20.24,May,2017,0.008614748449345289,Slight or No change
12,PNB,EQ,2017-05-31,146.35,146.85,151.6,145.0,150.85,150.5,148.56,16851657,2503432202.0,62225,5241274,31.1,May,2017,0.028356679193713763,Slight or No change
13,PNB,EQ,2017-06-01,150.5,151.0,152.3,149.25,151.6,151.9,150.95,9103808,1374191400.3,39672,969143,10.65,June,2017,0.009302325581395321,Slight or No change
14,PNB,EQ,2017-06-02,151.9,153.4,154.05,150.9,153.0,153.05,152.87,7997880,1222653756.1,37217,1520732,19.01,June,2017,0.007570770243581437,Slight or No change
15,PNB,EQ,2017-06-05,153.05,153.45,154.75,152.8,153.85,153.8,153.8,5133407,789529480.9,27356,928075,18.08,June,2017,0.004900359359686357,Slight or No change
16,PNB,EQ,2017-06-06,153.8,154.1,154.5,149.05,149.55,149.5,151.32,6081488,920237705.2,32123,1091219,17.94,June,2017,-0.0279583875162549,Slight or No change
17,PNB,EQ,2017-06-07,149.5,149.5,153.0,149.25,152.65,152.35,151.17,7023536,1061741432.05,37817,1243197,17.7,June,2017,0.019063545150501682,Slight or No change
18,PNB,EQ,2017-06-08,152.35,152.8,153.15,150.75,151.3,151.3,151.73,5183430,786460561.9,29855,892803,17.22,June,2017,-0.006892024942566355,Slight or No change
19,PNB,EQ,2017-06-09,151.3,151.0,152.75,149.65,151.8,152.15,151.45,4215439,638407453.8,23742,531658,12.61,June,2017,0.00561797752808979,Slight or No change
20,PNB,EQ,2017-06-12,152.15,151.0,151.0,147.5,148.6,148.4,148.89,6329251,942376196.15,33295,911020,14.39,June,2017,-0.024646730200460043,Slight or No change
21,PNB,EQ,2017-06-13,148.4,148.8,150.5,147.5,149.15,148.75,149.12,4610203,687463916.05,36325,825200,17.9,June,2017,0.002358490566037652,Slight or No change
22,PNB,EQ,2017-06-14,148.75,149.6,152.7,148.3,152.2,152.0,150.56,8829217,1329301635.55,43060,1584689,17.95,June,2017,0.02184873949579824,Slight or No change
23,PNB,EQ,2017-06-15,152.0,148.6,150.7,146.7,147.2,147.45,148.04,12486764,1848505520.4,55170,2697077,21.6,June,2017,-0.02993421052631584,Slight or No change
24,PNB,EQ,2017-06-16,147.45,148.5,148.9,146.7,147.5,147.65,147.72,6445657,952149860.05,29679,2200753,34.14,June,2017,0.0013563919972874316,Slight or No change
25,PNB,EQ,2017-06-19,147.65,148.5,149.0,146.8,146.95,147.25,148.06,3972793,588220932.95,29398,690014,17.37,June,2017,-0.0027091093802912303,Slight or No change
26,PNB,EQ,2017-06-20,147.25,146.9,147.6,143.5,144.05,143.9,144.66,11058383,1599745028.9,47839,4668493,42.22,June,2017,-0.022750424448217288,Slight or No change
27,PNB,EQ,2017-06-21,143.9,144.1,146.65,143.5,146.15,146.2,145.79,6615254,964436954.9,49075,1607645,24.3,June,2017,0.015983321751215973,Slight or No change
28,PNB,EQ,2017-06-22,146.2,146.95,147.9,144.75,145.35,145.55,146.58,4476023,656117024.55,26433,877736,19.61,June,2017,-0.004445964432284399,Slight or No change
29,PNB,EQ,2017-06-23,145.55,145.75,146.55,142.1,144.1,143.9,144.08,6011716,866189019.65,36711,1388169,23.09,June,2017,-0.011336310546204098,Slight or No change
30,PNB,EQ,2017-06-27,143.9,144.4,144.4,135.6,136.2,137.0,137.82,11185507,1541598359.15,56355,1918992,17.16,June,2017,-0.04794996525364836,Slight or No change
31,PNB,EQ,2017-06-28,137.0,134.4,138.25,132.65,136.6,136.5,136.05,10796349,1468875924.3,53240,1259571,11.67,June,2017,-0.0036496350364964014,Slight or No change
32,PNB,EQ,2017-06-29,136.5,138.0,139.75,134.8,138.1,138.05,137.11,9372758,1285095594.75,35607,2593740,27.67,June,2017,0.011355311355311537,Slight or No change
33,PNB,EQ,2017-06-30,138.05,136.85,138.6,135.5,136.6,137.3,137.38,5476662,752375712.55,24323,738785,13.49,June,2017,-0.005432814197754432,Slight or No change
34,PNB,EQ,2017-07-03,137.3,137.5,140.0,136.6,139.55,139.25,137.99,4541871,626729516.45,27851,1007586,22.18,July,2017,0.014202476329206126,Slight or No change
35,PNB,EQ,2017-07-04,139.25,139.4,140.35,135.8,135.85,136.55,137.96,4799590,662130387.95,23419,999998,20.84,July,2017,-0.019389587073608494,Slight or No change
36,PNB,EQ,2017-07-05,136.55,136.4,137.6,135.25,136.6,136.6,136.59,6423645,877404578.35,31076,1765608,27.49,July,2017,0.0003661662394724985,Slight or No change
37,PNB,EQ,2017-07-06,136.6,140.45,144.2,139.75,143.5,143.3,142.35,16877517,2402481653.45,77265,4314027,25.56,July,2017,0.04904831625183026,Slight or No change
38,PNB,EQ,2017-07-07,143.3,143.6,144.8,142.45,144.0,144.2,143.77,6501418,934695017.85,33965,1583305,24.35,July,2017,0.006280530355896596,Slight or No change
39,PNB,EQ,2017-07-10,144.2,148.0,154.25,145.1,153.1,153.25,152.52,6737212,1027572511.5,31366,2308584,34.27,July,2017,0.06276005547850216,Slight or No change
40,PNB,EQ,2017-07-11,153.25,154.35,155.1,148.7,149.4,149.4,152.06,10977204,1669203805.2,58220,3247898,29.59,July,2017,-0.025122349102773223,Slight or No change
41,PNB,EQ,2017-07-12,149.4,149.85,152.9,148.4,152.7,152.35,150.8,7270322,1096351388.2,43114,1219587,16.77,July,2017,0.019745649263721576,Slight or No change
42,PNB,EQ,2017-07-13,152.35,153.9,154.95,151.0,152.25,152.25,152.56,5383408,821293131.8,28742,706397,13.12,July,2017,-0.0006563833278634412,Slight or No change
43,PNB,EQ,2017-07-14,152.25,150.0,154.9,150.0,153.5,153.65,152.86,7808933,1193669215.65,40336,1174858,15.05,July,2017,0.009195402298850519,Slight or No change
44,PNB,EQ,2017-07-17,153.65,153.35,154.0,151.5,153.2,152.9,152.64,7437053,1135184931.35,25801,2580884,34.7,July,2017,-0.004881223560039061,Slight or No change
45,PNB,EQ,2017-07-18,152.9,152.9,158.95,151.9,155.8,154.85,156.41,12397695,1939177078.7,63499,2193026,17.69,July,2017,0.01275343361674297,Slight or No change
46,PNB,EQ,2017-07-19,154.85,156.6,158.85,155.65,158.5,158.3,157.11,6062912,952563276.1,30248,1226640,20.23,July,2017,0.0222796254439781,Slight or No change
47,PNB,EQ,2017-07-20,158.3,156.95,158.7,155.9,157.5,156.75,157.25,5441983,855750198.65,27241,765148,14.06,July,2017,-0.009791535060012735,Slight or No change
48,PNB,EQ,2017-07-21,156.75,158.0,159.7,155.95,158.3,158.25,158.11,6926819,1095198030.35,33064,1499002,21.64,July,2017,0.009569377990430672,Slight or No change
49,PNB,EQ,2017-07-24,158.25,158.5,163.4,158.0,161.5,161.3,161.32,8443748,1362127922.2,40919,1493556,17.69,July,2017,0.019273301737756876,Slight or No change
50,PNB,EQ,2017-07-25,161.3,162.25,164.3,161.35,162.9,162.95,162.79,6869914,1118345155.8,34026,1818693,26.47,July,2017,0.010229386236825677,Slight or No change
51,PNB,EQ,2017-07-26,162.95,162.5,163.7,158.1,158.55,158.9,161.25,8868577,1430080319.85,38957,2965878,33.44,July,2017,-0.024854249769867942,Slight or No change
52,PNB,EQ,2017-07-27,158.9,159.95,160.9,153.5,155.15,154.15,156.8,11133709,1745793992.2,46308,3068462,27.56,July,2017,-0.029893014474512314,Slight or No change
53,PNB,EQ,2017-07-28,154.15,154.0,159.45,153.0,159.2,158.85,157.18,7759390,1219593960.45,34575,1706445,21.99,July,2017,0.030489782679208544,Slight or No change
54,PNB,EQ,2017-07-31,158.85,154.9,163.4,154.35,162.7,162.3,160.44,13159766,2111394261.3,60702,3007727,22.86,July,2017,0.021718602455146563,Slight or No change
55,PNB,EQ,2017-08-01,162.3,163.8,164.2,157.0,157.3,157.5,158.88,11446128,1818579759.85,56178,2601717,22.73,August,2017,-0.02957486136783738,Slight or No change
56,PNB,EQ,2017-08-02,157.5,159.0,162.2,157.35,157.85,158.95,159.57,31565886,5036922632.5,128703,4175010,13.23,August,2017,0.009206349206349218,Slight or No change
57,PNB,EQ,2017-08-03,158.95,157.85,157.85,148.2,148.8,149.3,152.43,19702626,3003207924.9,95685,4736496,24.04,August,2017,-0.06071091538219553,Slight or No change
58,PNB,EQ,2017-08-04,149.3,149.05,152.35,147.9,151.25,151.05,150.75,12895805,1944011309.65,67955,3110595,24.12,August,2017,0.011721366376423292,Slight or No change
59,PNB,EQ,2017-08-07,151.05,151.3,153.0,151.05,152.0,152.1,152.13,5372108,817262134.05,32456,1165851,21.7,August,2017,0.006951340615690027,Slight or No change
60,PNB,EQ,2017-08-08,152.1,153.0,153.0,145.5,148.85,148.8,148.66,11529949,1714088808.3,40487,1924997,16.7,August,2017,-0.021696252465483123,Slight or No change
61,PNB,EQ,2017-08-09,148.8,148.5,150.3,146.5,147.75,148.3,148.69,7478797,1112015545.1,33269,621976,8.32,August,2017,-0.0033602150537634934,Slight or No change
62,PNB,EQ,2017-08-10,148.3,147.5,148.3,140.15,144.2,143.15,145.12,8506146,1234402066.6,37306,825204,9.7,August,2017,-0.03472690492245456,Slight or No change
63,PNB,EQ,2017-08-11,143.15,139.0,144.6,137.45,140.05,140.35,141.5,14050916,1988243139.0,69893,3081937,21.93,August,2017,-0.019559902200489088,Slight or No change
64,PNB,EQ,2017-08-14,140.35,141.5,143.8,140.35,143.35,143.2,142.22,5282514,751283516.3,30158,1107335,20.96,August,2017,0.020306376914855706,Slight or No change
65,PNB,EQ,2017-08-16,143.2,143.9,149.1,140.7,148.8,147.55,143.77,8003091,1150585706.4,39086,807207,10.09,August,2017,0.030377094972067198,Slight or No change
66,PNB,EQ,2017-08-17,147.55,148.1,150.1,145.5,146.35,146.3,147.76,8384523,1238916848.0,35949,1326789,15.82,August,2017,-0.008471704506946787,Slight or No change
67,PNB,EQ,2017-08-18,146.3,144.0,144.5,140.7,141.8,142.15,142.17,9195713,1307342821.9,50483,1441031,15.67,August,2017,-0.028366370471633706,Slight or No change
68,PNB,EQ,2017-08-21,142.15,143.0,143.9,136.8,137.6,137.6,140.59,9064019,1274294900.4,50025,2188902,24.15,August,2017,-0.03200844178684492,Slight or No change
69,PNB,EQ,2017-08-22,137.6,139.0,139.5,135.65,138.2,138.0,137.56,9256850,1273395512.6,53563,987686,10.67,August,2017,0.0029069767441860517,Slight or No change
70,PNB,EQ,2017-08-23,138.0,139.0,143.1,138.25,142.6,142.65,141.41,9488136,1341696842.05,59355,1438038,15.16,August,2017,0.033695652173913127,Slight or No change
71,PNB,EQ,2017-08-24,142.65,141.5,145.5,140.25,143.9,144.3,142.72,8742823,1247799862.05,46316,1451701,16.6,August,2017,0.0115667718191379,Slight or No change
72,PNB,EQ,2017-08-28,144.3,144.3,145.95,143.95,144.9,144.85,144.79,5356187,775547858.05,39925,1568571,29.29,August,2017,0.003811503811503636,Slight or No change
73,PNB,EQ,2017-08-29,144.85,143.25,145.4,140.25,141.0,141.0,142.97,6956667,994610565.7,54584,1965266,28.25,August,2017,-0.026579219882637117,Slight or No change
74,PNB,EQ,2017-08-30,141.0,142.25,143.35,141.3,143.05,142.5,142.43,4286281,610515829.9,18619,1301616,30.37,August,2017,0.010638297872340496,Slight or No change
75,PNB,EQ,2017-08-31,142.5,142.6,145.0,141.4,143.8,143.8,142.83,8964249,1280355814.3,34594,3323063,37.07,August,2017,0.009122807017543977,Slight or No change
76,PNB,EQ,2017-09-01,143.8,144.1,145.8,143.9,144.3,144.45,144.78,5319966,770221192.35,22288,930797,17.5,September,2017,0.004520166898470013,Slight or No change
77,PNB,EQ,2017-09-04,144.45,144.5,145.4,141.6,142.5,142.65,143.36,4522734,648361091.95,20150,346679,7.67,September,2017,-0.012461059190031043,Slight or No change
78,PNB,EQ,2017-09-05,142.65,143.3,143.9,142.4,143.55,143.6,143.38,3193574,457905020.4,14574,372378,11.66,September,2017,0.00665965650192768,Slight or No change
79,PNB,EQ,2017-09-06,143.6,142.25,142.6,138.35,138.7,139.0,139.87,12625243,1765901861.25,43368,5719430,45.3,September,2017,-0.03203342618384397,Slight or No change
80,PNB,EQ,2017-09-07,139.0,140.4,140.4,137.55,139.0,138.95,138.98,8834660,1227860778.85,37615,2411057,27.29,September,2017,-0.0003597122302159139,Slight or No change
81,PNB,EQ,2017-09-08,138.95,139.4,139.8,137.1,137.75,137.85,138.24,4807096,664550906.65,22975,686279,14.28,September,2017,-0.007916516732637602,Slight or No change
82,PNB,EQ,2017-09-11,137.85,138.9,139.5,137.75,138.3,138.15,138.6,3593970,498110788.35,19592,728489,20.27,September,2017,0.0021762785636563198,Slight or No change
83,PNB,EQ,2017-09-12,138.15,139.4,142.0,138.0,141.7,141.5,140.58,7355454,1034054076.65,44047,2264538,30.79,September,2017,0.024249004705030774,Slight or No change
84,PNB,EQ,2017-09-13,141.5,141.95,144.8,141.15,143.35,143.0,143.42,6517642,934782219.05,33534,1821470,27.95,September,2017,0.010600706713780994,Slight or No change
85,PNB,EQ,2017-09-14,143.0,143.0,145.8,143.0,145.35,145.25,144.77,6985935,1011374692.45,32205,2035250,29.13,September,2017,0.01573426573426584,Slight or No change
86,PNB,EQ,2017-09-15,145.25,144.2,146.4,143.6,144.05,144.65,144.71,5237646,757929785.4,23604,1317793,25.16,September,2017,-0.004130808950085996,Slight or No change
87,PNB,EQ,2017-09-18,144.65,146.0,147.3,144.5,144.7,144.75,145.75,4089953,596106280.95,25242,1412985,34.55,September,2017,0.0006913238852401804,Slight or No change
88,PNB,EQ,2017-09-19,144.75,145.5,145.5,141.9,143.8,143.9,143.57,3878878,556906222.85,22619,438332,11.3,September,2017,-0.005872193436960216,Slight or No change
89,PNB,EQ,2017-09-20,143.9,144.0,146.45,142.75,144.85,144.8,144.56,9509565,1374724265.7,31589,5119640,53.84,September,2017,0.006254343293954134,Slight or No change
90,PNB,EQ,2017-09-21,144.8,144.2,145.7,141.35,141.8,141.8,142.6,4955855,706717489.45,24068,1053354,21.25,September,2017,-0.02071823204419887,Slight or No change
91,PNB,EQ,2017-09-22,141.8,141.7,141.7,137.05,137.6,137.7,139.11,4339014,603615262.8,22869,918627,21.17,September,2017,-0.028913963328632053,Slight or No change
92,PNB,EQ,2017-09-25,137.7,137.5,138.5,133.35,137.6,137.65,135.95,5005117,680437122.15,24593,720903,14.4,September,2017,-0.0003631082062452995,Slight or No change
93,PNB,EQ,2017-09-26,137.65,137.5,138.25,135.5,136.35,136.65,136.89,4156603,569002187.0,24906,908520,21.86,September,2017,-0.007264802034144591,Slight or No change
94,PNB,EQ,2017-09-27,136.65,137.3,138.2,132.05,132.7,132.65,135.23,5049669,682851209.15,25195,1010710,20.02,September,2017,-0.029271862422246664,Slight or No change
95,PNB,EQ,2017-09-28,132.65,132.8,133.9,130.2,130.75,130.75,131.98,6456704,852152232.2,28453,1167092,18.08,September,2017,-0.014323407463249227,Slight or No change
96,PNB,EQ,2017-09-29,130.75,131.9,132.75,128.4,129.5,129.05,130.59,5696269,743878930.2,28838,1745159,30.64,September,2017,-0.013001912045888964,Slight or No change
97,PNB,EQ,2017-10-03,129.05,130.85,131.0,128.2,129.4,129.6,129.32,6869737,888372479.35,26257,2788540,40.59,October,2017,0.0042619139868267375,Slight or No change
98,PNB,EQ,2017-10-04,129.6,129.9,132.2,129.0,130.35,129.95,130.43,4823213,629089708.4,22348,728220,15.1,October,2017,0.002700617283950546,Slight or No change
99,PNB,EQ,2017-10-05,129.95,130.4,133.3,130.0,132.7,132.35,131.88,5435195,716800457.65,24369,1371152,25.23,October,2017,0.018468641785302164,Slight or No change
100,PNB,EQ,2017-10-06,132.35,133.0,137.9,132.95,137.3,137.05,135.37,7521348,1018163150.35,30974,2808888,37.35,October,2017,0.03551190026445039,Slight or No change
101,PNB,EQ,2017-10-09,137.05,137.0,137.85,135.15,137.2,137.3,136.67,4262474,582541535.1,17463,832841,19.54,October,2017,0.0018241517694272957,Slight or No change
102,PNB,EQ,2017-10-10,137.3,137.5,137.8,136.2,137.0,137.0,136.99,2373107,325099530.15,12433,413582,17.43,October,2017,-0.002184996358339464,Slight or No change
103,PNB,EQ,2017-10-11,137.0,138.0,138.8,130.8,131.0,131.7,134.49,5753051,773714431.6,28557,1589050,27.62,October,2017,-0.03868613138686139,Slight or No change
104,PNB,EQ,2017-10-12,131.7,132.0,134.3,129.95,133.7,133.8,132.13,5371109,709689630.3,24211,426446,7.94,October,2017,0.015945330296127658,Slight or No change
105,PNB,EQ,2017-10-13,133.8,133.8,136.75,132.4,135.0,135.0,135.08,5481433,740413015.65,27510,567323,10.35,October,2017,0.008968609865470656,Slight or No change
106,PNB,EQ,2017-10-16,135.0,135.45,136.35,132.0,134.2,133.85,133.95,4427314,593027108.85,20451,413209,9.33,October,2017,-0.008518518518518592,Slight or No change
107,PNB,EQ,2017-10-17,133.85,133.8,136.8,133.35,134.45,134.4,134.94,4220328,569495838.5,18787,410807,9.73,October,2017,0.004109077325364252,Slight or No change
108,PNB,EQ,2017-10-18,134.4,133.1,133.85,130.4,131.25,130.9,132.06,6126357,809057945.7,28499,1700486,27.76,October,2017,-0.02604166666666663,Slight or No change
109,PNB,EQ,2017-10-19,130.9,131.0,131.5,128.8,129.3,129.55,130.0,1148287,149282881.15,6684,490653,42.73,October,2017,-0.01031321619556913,Slight or No change
110,PNB,EQ,2017-10-23,129.55,129.6,131.9,129.0,131.35,131.0,130.3,4381410,570896084.4,21648,799135,18.24,October,2017,0.011192589733693525,Slight or No change
111,PNB,EQ,2017-10-24,131.0,131.5,141.7,131.0,137.6,138.2,137.72,13692564,1885737337.6,63629,2547558,18.61,October,2017,0.05496183206106853,Slight or No change
112,PNB,EQ,2017-10-25,138.2,152.0,206.55,152.0,205.75,202.05,188.41,166547247,31378580984.2,539330,51280258,30.79,October,2017,0.46201157742402343,Slight or No change
113,PNB,EQ,2017-10-26,202.05,212.0,231.45,201.1,218.0,213.6,213.21,124669249,26580974703.1,530017,10942333,8.78,October,2017,0.05716406829992571,Slight or No change
114,PNB,EQ,2017-10-27,213.6,214.0,214.0,195.25,197.3,196.65,202.24,39213574,7930594969.45,185993,4697019,11.98,October,2017,-0.0793539325842696,Slight or No change
115,PNB,EQ,2017-10-30,196.65,196.8,213.0,194.75,203.2,203.95,205.59,46136900,9485506632.9,219912,5565348,12.06,October,2017,0.037121789982201836,Slight or No change
116,PNB,EQ,2017-10-31,203.95,203.95,206.9,196.6,197.5,197.15,200.08,27023668,5406962052.1,131164,3693136,13.67,October,2017,-0.03334150527089963,Slight or No change
117,PNB,EQ,2017-11-01,197.15,202.0,206.3,198.25,199.05,198.9,201.6,28141909,5673452286.8,141284,7550245,26.83,November,2017,0.008876489982247104,Slight or No change
118,PNB,EQ,2017-11-02,198.9,199.05,203.5,196.05,197.55,197.45,199.16,20686765,4119909147.7,96785,4089733,19.77,November,2017,-0.007290095525389728,Slight or No change
119,PNB,EQ,2017-11-03,197.45,199.25,212.0,199.1,207.3,207.8,205.11,96398855,19772829282.25,415429,8992220,9.33,November,2017,0.052418333755381186,Slight or No change
120,PNB,EQ,2017-11-06,207.8,206.8,207.6,199.7,201.9,201.2,203.97,21545767,4394627840.0,104792,4790795,22.24,November,2017,-0.031761308950914446,Slight or No change
